81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,not set,not set
82,Antonia's Line (Antonia) (1995),Comedy|Drama,not set,not set
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,not set,not set
84,Last Summer in the Hamptons (1995),Comedy|Drama,not set,not set
85,Angels and Insects (1995),Drama|Romance,not set,not set
86,White Squall (1996),Action|Adventure|Drama,not set,not set
87,Dunston Checks In (1996),Children|Comedy,not set,not set
88,Black Sheep (1996),Comedy,not set,not set
89,Nick of Time (1995),Action|Thriller,not set,not set
92,Mary Reilly (1996),Drama|Horror|Thriller,not set,not set
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,not set,not set
94,Beautiful Girls (1996),Comedy|Drama|Romance,not set,not set
95,Broken Arrow (1996),Action|Adventure|Thriller,not set,not set
96,In the Bleak Midwinter (1995),Comedy|Drama,not set,not set
97,Hate (Haine, La) (1995),Crime|Drama,not set
98,Shopping (1994),Action|Thriller,not set,not set
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,not set,not set
100,City Hall (1996),Drama|Thriller,not set,not set
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,not set,not set
102,Mr. Wrong (1996),Comedy,not set,not set
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,not set,not set
104,Happy Gilmore (1996),Comedy,not set,not set
105,Bridges of Madison County, The (1995),Drama|Romance,not set
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,not set,not set
108,Catwalk (1996),Documentary,not set,not set
110,Braveheart (1995),Action|Drama|War,not set,not set
111,Taxi Driver (1976),Crime|Drama|Thriller,not set,not set
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,not set,not set
113,Before and After (1996),Drama|Mystery,not set,not set
114,Margaret's Museum (1995),Drama,not set,not set
116,Anne Frank Remembered (1995),Documentary,not set,not set
117,Young Poisoner's Handbook, The (1995),Crime|Drama,not set
118,If Lucy Fell (1996),Comedy|Romance,not set,not set
119,Steal Big, Steal Little (1995),Comedy,not set
121,Boys of St. Vincent, The (1992),Drama,not set
122,Boomerang (1992),Comedy|Romance,not set,not set
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,not set,not set
125,Flirting With Disaster (1996),Comedy,not set,not set
126,NeverEnding Story III, The (1994),Adventure|Children|Fantasy,not set
129,Pie in the Sky (1996),Comedy|Romance,not set,not set
130,Angela (1995),Drama,not set,not set
131,Frankie Starlight (1995),Drama|Romance,not set,not set
132,Jade (1995),Thriller,not set,not set
135,Down Periscope (1996),Comedy,not set,not set
137,Man of the Year (1995),Documentary,not set,not set
140,Up Close and Personal (1996),Drama|Romance,not set,not set
141,Birdcage, The (1996),Comedy,not set
144,Brothers McMullen, The (1995),Comedy,not set
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,not set,not set
146,Amazing Panda Adventure, The (1995),Adventure|Children,not set
147,Basketball Diaries, The (1995),Drama,not set
148,Awfully Big Adventure, An (1995),Drama,not set
149,Amateur (1994),Crime|Drama|Thriller,not set,not set
150,Apollo 13 (1995),Adventure|Drama|IMAX,not set,not set
151,Rob Roy (1995),Action|Drama|Romance|War,not set,not set
152,Addiction, The (1995),Drama|Horror,not set
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,not set,not set
154,Beauty of the Day (Belle de jour) (1967),Drama,not set,not set
155,Beyond Rangoon (1995),Adventure|Drama|War,not set,not set
156,Blue in the Face (1995),Comedy|Drama,not set,not set
157,Canadian Bacon (1995),Comedy|War,not set,not set
158,Casper (1995),Adventure|Children,not set,not set
159,Clockers (1995),Crime|Drama|Mystery,not set,not set
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,not set,not set
161,Crimson Tide (1995),Drama|Thriller|War,not set,not set
162,Crumb (1994),Documentary,not set,not set
163,Desperado (1995),Action|Romance|Western,not set,not set
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,not set,not set
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,not set,not set
166,Doom Generation, The (1995),Comedy|Crime|Drama,not set
167,Feast of July (1995),Drama,not set,not set
168,First Knight (1995),Action|Drama|Romance,not set,not set
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,not set,not set
170,Hackers (1995),Action|Adventure|Crime|Thriller,not set,not set
171,Jeffrey (1995),Comedy|Drama,not set,not set
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,not set,not set
173,Judge Dredd (1995),Action|Crime|Sci-Fi,not set,not set
174,Jury Duty (1995),Comedy,not set,not set
175,Kids (1995),Drama,not set,not set
176,Living in Oblivion (1995),Comedy,not set,not set
177,Lord of Illusions (1995),Horror,not set,not set
178,Love & Human Remains (1993),Comedy|Drama,not set,not set
179,Mad Love (1995),Drama|Romance,not set,not set
180,Mallrats (1995),Comedy|Romance,not set,not set
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,not set,not set
183,Mute Witness (1994),Comedy|Horror|Thriller,not set,not set
184,Nadja (1994),Drama,not set,not set
185,Net, The (1995),Action|Crime|Thriller,not set
186,Nine Months (1995),Comedy|Romance,not set,not set
187,Party Girl (1995),Comedy,not set,not set
188,Prophecy, The (1995),Fantasy|Horror|Mystery,not set
189,Reckless (1995),Comedy|Fantasy,not set,not set
190,Safe (1995),Thriller,not set,not set
191,Scarlet Letter, The (1995),Drama|Romance,not set
193,Showgirls (1995),Drama,not set,not set
194,Smoke (1995),Comedy|Drama,not set,not set
195,Something to Talk About (1995),Comedy|Drama|Romance,not set,not set
196,Species (1995),Horror|Sci-Fi,not set,not set
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,not set,not set
200,Tie That Binds, The (1995),Thriller,not set
201,Three Wishes (1995),Drama|Fantasy,not set,not set
202,Total Eclipse (1995),Drama|Romance,not set,not set
203,To Wong Foo, Thanks for Everything! Julie Newmar (1995),Comedy,not set
204,Under Siege 2: Dark Territory (1995),Action,not set,not set
205,Unstrung Heroes (1995),Comedy|Drama,not set,not set
206,Unzipped (1995),Documentary,not set,not set
207,Walk in the Clouds, A (1995),Drama|Romance,not set
208,Waterworld (1995),Action|Adventure|Sci-Fi,not set,not set
209,White Man's Burden (1995),Drama,not set,not set
211,Browning Version, The (1994),Drama,not set
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,not set,not set
214,Before the Rain (Pred dozhdot) (1994),Drama|War,not set,not set
215,Before Sunrise (1995),Drama|Romance,not set,not set
216,Billy Madison (1995),Comedy,not set,not set
217,Babysitter, The (1995),Drama|Thriller,not set
218,Boys on the Side (1995),Comedy|Drama,not set,not set
219,Cure, The (1995),Drama,not set
220,Castle Freak (1995),Horror,not set,not set
222,Circle of Friends (1995),Drama|Romance,not set,not set
223,Clerks (1994),Comedy,not set,not set
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,not set,not set
225,Disclosure (1994),Drama|Thriller,not set,not set
227,Drop Zone (1994),Action|Thriller,not set,not set
228,Destiny Turns on the Radio (1995),Comedy,not set,not set
229,Death and the Maiden (1994),Drama|Thriller,not set,not set
230,Dolores Claiborne (1995),Drama|Thriller,not set,not set
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,not set,not set
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,not set,not set
233,Exotica (1994),Drama,not set,not set
234,Exit to Eden (1994),Comedy,not set,not set
235,Ed Wood (1994),Comedy|Drama,not set,not set
236,French Kiss (1995),Action|Comedy|Romance,not set,not set
237,Forget Paris (1995),Comedy|Romance,not set,not set
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,not set,not set
239,Goofy Movie, A (1995),Animation|Children|Comedy|Romance,not set
240,Hideaway (1995),Thriller,not set,not set
241,Fluke (1995),Children|Drama,not set,not set
242,Farinelli: il castrato (1994),Drama|Musical,not set,not set
243,Gordy (1995),Children|Comedy|Fantasy,not set,not set
244,Gumby: The Movie (1995),Animation|Children,not set,not set
245,The Glass Shield (1994),Crime|Drama,not set,not set
246,Hoop Dreams (1994),Documentary,not set,not set
247,Heavenly Creatures (1994),Crime|Drama,not set,not set
248,Houseguest (1994),Comedy,not set,not set
249,Immortal Beloved (1994),Drama|Romance,not set,not set
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,not set,not set
251,Hunted, The (1995),Action,not set
252,I.Q. (1994),Comedy|Romance,not set,not set
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,not set,not set
254,Jefferson in Paris (1995),Drama,not set,not set
255,Jerky Boys, The (1995),Comedy,not set
256,Junior (1994),Comedy|Sci-Fi,not set,not set
257,Just Cause (1995),Mystery|Thriller,not set,not set
258,Kid in King Arthur's Court, A (1995),Adventure|Children|Comedy|Fantasy|Romance,not set
259,Kiss of Death (1995),Crime|Drama|Thriller,not set,not set
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,not set,not set
261,Little Women (1994),Drama,not set,not set
262,Little Princess, A (1995),Children|Drama,not set
263,Ladybird Ladybird (1994),Drama,not set,not set
264,Enfer, L' (1994),Drama,not set
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,not set,not set
266,Legends of the Fall (1994),Drama|Romance|War|Western,not set,not set
267,Major Payne (1995),Comedy,not set,not set
268,Little Odessa (1994),Crime|Drama,not set,not set
269,My Crazy Life (Mi vida loca) (1993),Drama,not set,not set
270,Love Affair (1994),Drama|Romance,not set,not set
271,Losing Isaiah (1995),Drama,not set,not set
272,Madness of King George, The (1994),Comedy|Drama,not set
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,not set,not set
274,Man of the House (1995),Comedy,not set,not set
275,Mixed Nuts (1994),Comedy,not set,not set
276,Milk Money (1994),Comedy|Romance,not set,not set
277,Miracle on 34th Street (1994),Drama,not set,not set
278,Miami Rhapsody (1995),Comedy,not set,not set
279,My Family (1995),Drama,not set,not set
280,Murder in the First (1995),Drama|Thriller,not set,not set
281,Nobody's Fool (1994),Comedy|Drama|Romance,not set,not set
282,Nell (1994),Drama,not set,not set
283,New Jersey Drive (1995),Crime|Drama,not set,not set
285,Beyond Bedlam (1993),Drama|Horror,not set,not set
287,Nina Takes a Lover (1994),Comedy|Romance,not set,not set
288,Natural Born Killers (1994),Action|Crime|Thriller,not set,not set
289,Only You (1994),Comedy|Romance,not set,not set
290,Once Were Warriors (1994),Crime|Drama,not set,not set
291,Poison Ivy II (1996),Drama|Thriller,not set,not set
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,not set,not set
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,not set,not set
294,Perez Family, The (1995),Comedy|Romance,not set
295,Pyromaniac's Love Story, A (1995),Comedy|Romance,not set
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,not set,not set
299,Priest (1994),Drama,not set,not set
300,Quiz Show (1994),Drama,not set,not set
301,Picture Bride (Bijo photo) (1994),Drama|Romance,not set,not set
302,Queen Margot (Reine Margot, La) (1994),Drama|Romance,not set
303,Quick and the Dead, The (1995),Action|Thriller|Western,not set
304,Roommates (1995),Comedy|Drama,not set,not set
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,not set,not set
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,not set,not set
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,not set,not set
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,not set,not set
309,Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994),Drama,not set
312,Stuart Saves His Family (1995),Comedy,not set,not set
313,Swan Princess, The (1994),Animation|Children,not set
314,Secret of Roan Inish, The (1994),Children|Drama|Fantasy|Mystery,not set
315,Specialist, The (1994),Action|Drama|Thriller,not set
316,Stargate (1994),Action|Adventure|Sci-Fi,not set,not set
317,Santa Clause, The (1994),Comedy|Drama|Fantasy,not set
318,Shawshank Redemption, The (1994),Crime|Drama,not set
319,Shallow Grave (1994),Comedy|Drama|Thriller,not set,not set
320,Suture (1993),Film-Noir|Thriller,not set,not set
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,not set,not set
322,Swimming with Sharks (1995),Comedy|Drama,not set,not set
324,Sum of Us, The (1994),Comedy|Drama,not set
325,National Lampoon's Senior Trip (1995),Comedy,not set,not set
326,To Live (Huozhe) (1994),Drama,not set,not set
327,Tank Girl (1995),Action|Comedy|Sci-Fi,not set,not set
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,not set,not set
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,not set,not set
330,Tales from the Hood (1995),Action|Crime|Horror,not set,not set
331,Tom & Viv (1994),Drama,not set,not set
332,Village of the Damned (1995),Horror|Sci-Fi,not set,not set
333,Tommy Boy (1995),Comedy,not set,not set
334,Vanya on 42nd Street (1994),Drama,not set,not set
335,Underneath (1995),Mystery|Thriller,not set,not set
336,Walking Dead, The (1995),Drama|War,not set
337,What's Eating Gilbert Grape (1993),Drama,not set,not set
338,Virtuosity (1995),Action|Sci-Fi|Thriller,not set,not set
339,While You Were Sleeping (1995),Comedy|Romance,not set,not set
340,War, The (1994),Adventure|Drama|War,not set
341,Double Happiness (1994),Drama,not set,not set
342,Muriel's Wedding (1994),Comedy,not set,not set
343,Baby-Sitters Club, The (1995),Children,not set
344,Ace Ventura: Pet Detective (1994),Comedy,not set,not set
346,Backbeat (1993),Drama|Musical,not set,not set
347,Bitter Moon (1992),Drama|Film-Noir|Romance,not set,not set
348,Bullets Over Broadway (1994),Comedy,not set,not set
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,not set,not set
350,Client, The (1994),Drama|Mystery|Thriller,not set
351,Corrina, Corrina (1994),Comedy|Drama|Romance,not set
352,Crooklyn (1994),Comedy|Drama,not set,not set
353,Crow, The (1994),Action|Crime|Fantasy|Thriller,not set
354,Cobb (1994),Drama,not set,not set
355,Flintstones, The (1994),Children|Comedy|Fantasy,not set
356,Forrest Gump (1994),Comedy|Drama|Romance|War,not set,not set
357,Four Weddings and a Funeral (1994),Comedy|Romance,not set,not set
358,Higher Learning (1995),Drama,not set,not set
360,I Love Trouble (1994),Action|Comedy,not set,not set
361,It Could Happen to You (1994),Comedy|Drama|Romance,not set,not set
362,Jungle Book, The (1994),Adventure|Children|Romance,not set
363,Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl,not set
364,Lion King, The (1994),Adventure|Animation|Children|Drama|Musical|IMAX,not set
365,Little Buddha (1993),Drama,not set,not set
366,Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994),Drama|Horror|Mystery|Thriller,not set
367,Mask, The (1994),Action|Comedy|Crime|Fantasy,not set
368,Maverick (1994),Adventure|Comedy|Western,not set,not set
369,Mrs. Parker and the Vicious Circle (1994),Drama,not set,not set
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,not set,not set
371,Paper, The (1994),Comedy|Drama,not set
372,Reality Bites (1994),Comedy|Drama|Romance,not set,not set
373,Red Rock West (1992),Thriller,not set,not set
374,Richie Rich (1994),Children|Comedy,not set,not set
375,Safe Passage (1994),Drama,not set,not set
376,River Wild, The (1994),Action|Thriller,not set
377,Speed (1994),Action|Romance|Thriller,not set,not set
378,Speechless (1994),Comedy|Romance,not set,not set
379,Timecop (1994),Action|Sci-Fi|Thriller,not set,not set
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,not set,not set
381,When a Man Loves a Woman (1994),Drama|Romance,not set,not set
382,Wolf (1994),Drama|Horror|Romance|Thriller,not set,not set
383,Wyatt Earp (1994),Western,not set,not set
384,Bad Company (1995),Action|Crime|Drama,not set,not set
387,Low Down Dirty Shame, A (1994),Action|Comedy,not set
388,Boys Life (1995),Drama,not set,not set
389,Colonel Chabert, Le (1994),Drama|Romance|War,not set
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,not set,not set
391,Jason's Lyric (1994),Crime|Drama,not set,not set
392,Secret Adventures of Tom Thumb, The (1993),Adventure|Animation,not set
393,Street Fighter (1994),Action|Adventure|Fantasy,not set,not set
401,Mirage (1995),Action|Thriller,not set,not set
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,not set,not set
407,In the Mouth of Madness (1995),Horror|Thriller,not set,not set
408,8 Seconds (1994),Drama,not set,not set
409,Above the Rim (1994),Crime|Drama,not set,not set
410,Addams Family Values (1993),Children|Comedy|Fantasy,not set,not set
412,Age of Innocence, The (1993),Drama,not set
413,Airheads (1994),Comedy,not set,not set
414,Air Up There, The (1994),Comedy,not set
415,Another Stakeout (1993),Comedy|Thriller,not set,not set
416,Bad Girls (1994),Western,not set,not set
417,Barcelona (1994),Comedy|Romance,not set,not set
418,Being Human (1993),Drama,not set,not set
419,Beverly Hillbillies, The (1993),Comedy,not set
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,not set,not set
421,Black Beauty (1994),Adventure|Children|Drama,not set,not set
422,Blink (1994),Thriller,not set,not set
423,Blown Away (1994),Action|Thriller,not set,not set
424,Blue Chips (1994),Drama,not set,not set
425,Blue Sky (1994),Drama|Romance,not set,not set
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,not set,not set
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,not set,not set
428,Bronx Tale, A (1993),Drama,not set
429,Cabin Boy (1994),Comedy,not set,not set
431,Carlito's Way (1993),Crime|Drama,not set,not set
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,not set,not set
433,Clean Slate (1994),Comedy,not set,not set
434,Cliffhanger (1993),Action|Adventure|Thriller,not set,not set
435,Coneheads (1993),Comedy|Sci-Fi,not set,not set
436,Color of Night (1994),Drama|Thriller,not set,not set
437,Cops and Robbersons (1994),Comedy,not set,not set
438,Cowboy Way, The (1994),Action|Comedy|Drama,not set
439,Dangerous Game (1993),Drama,not set,not set
440,Dave (1993),Comedy|Romance,not set,not set
441,Dazed and Confused (1993),Comedy,not set,not set
442,Demolition Man (1993),Action|Adventure|Sci-Fi,not set,not set
443,Endless Summer 2, The (1994),Adventure|Documentary,not set
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,not set,not set
445,Fatal Instinct (1993),Comedy,not set,not set
446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,not set,not set
447,Favor, The (1994),Comedy|Romance,not set
448,Fearless (1993),Drama,not set,not set
449,Fear of a Black Hat (1994),Comedy,not set,not set
450,With Honors (1994),Comedy|Drama,not set,not set
451,Flesh and Bone (1993),Drama|Mystery|Romance,not set,not set
452,Widows' Peak (1994),Drama,not set,not set
453,For Love or Money (1993),Comedy|Romance,not set,not set
454,Firm, The (1993),Drama|Thriller,not set
455,Free Willy (1993),Adventure|Children|Drama,not set,not set
456,Fresh (1994),Crime|Drama|Thriller,not set,not set
457,Fugitive, The (1993),Thriller,not set
458,Geronimo: An American Legend (1993),Drama|Western,not set,not set
459,Getaway, The (1994),Action|Adventure|Crime|Drama|Romance|Thriller,not set
460,Getting Even with Dad (1994),Comedy,not set,not set
461,Go Fish (1994),Drama|Romance,not set,not set
463,Guilty as Sin (1993),Crime|Drama|Thriller,not set,not set
464,Hard Target (1993),Action|Adventure|Crime|Thriller,not set,not set
465,Heaven & Earth (1993),Action|Drama|War,not set,not set
466,Hot Shots! Part Deux (1993),Action|Comedy|War,not set,not set
467,Live Nude Girls (1995),Comedy,not set,not set
468,Englishman Who Went Up a Hill But Came Down a Mountain, The (1995),Comedy|Romance,not set
469,House of the Spirits, The (1993),Drama|Romance,not set
470,House Party 3 (1994),Comedy,not set,not set
471,Hudsucker Proxy, The (1994),Comedy,not set
472,I'll Do Anything (1994),Comedy|Drama,not set,not set
473,In the Army Now (1994),Comedy|War,not set,not set
474,In the Line of Fire (1993),Action|Thriller,not set,not set
475,In the Name of the Father (1993),Drama,not set,not set
476,Inkwell, The (1994),Comedy|Drama,not set
477,What's Love Got to Do with It? (1993),Drama|Musical,not set,not set
479,Judgment Night (1993),Action|Crime|Thriller,not set,not set
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,not set,not set
481,Kalifornia (1993),Drama|Thriller,not set,not set
482,Killing Zoe (1994),Crime|Drama|Thriller,not set,not set
483,King of the Hill (1993),Drama,not set,not set
484,Lassie (1994),Adventure|Children,not set,not set
485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,not set,not set
486,Life with Mikey (1993),Comedy,not set,not set
487,Lightning Jack (1994),Comedy|Western,not set,not set
488,M. Butterfly (1993),Drama|Romance,not set,not set
489,Made in America (1993),Comedy,not set,not set
490,Malice (1993),Thriller,not set,not set
491,Man Without a Face, The (1993),Drama,not set
492,Manhattan Murder Mystery (1993),Comedy|Mystery,not set,not set
493,Menace II Society (1993),Action|Crime|Drama,not set,not set
494,Executive Decision (1996),Action|Adventure|Thriller,not set,not set
495,In the Realm of the Senses (Ai no corrida) (1976),Drama,not set,not set
496,What Happened Was... (1994),Comedy|Drama|Romance|Thriller,not set,not set
497,Much Ado About Nothing (1993),Comedy|Romance,not set,not set
498,Mr. Jones (1993),Drama|Romance,not set,not set
499,Mr. Wonderful (1993),Comedy|Romance,not set,not set
500,Mrs. Doubtfire (1993),Comedy|Drama,not set,not set
501,Naked (1993),Drama,not set,not set
502,Next Karate Kid, The (1994),Action|Children|Romance,not set
504,No Escape (1994),Action|Drama|Sci-Fi,not set,not set
505,North (1994),Comedy,not set,not set
506,Orlando (1992),Drama|Fantasy|Romance,not set,not set
507,Perfect World, A (1993),Crime|Drama|Thriller,not set
508,Philadelphia (1993),Drama,not set,not set
509,Piano, The (1993),Drama|Romance,not set
510,Poetic Justice (1993),Drama,not set,not set
511,Program, The (1993),Action|Drama,not set
512,Puppet Masters, The (1994),Horror|Sci-Fi,not set
513,Radioland Murders (1994),Comedy|Mystery|Romance,not set,not set
514,Ref, The (1994),Comedy,not set
515,Remains of the Day, The (1993),Drama|Romance,not set
516,Renaissance Man (1994),Comedy|Drama,not set,not set
517,Rising Sun (1993),Action|Drama|Mystery,not set,not set
518,Road to Wellville, The (1994),Comedy,not set
519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller,not set,not set
520,Robin Hood: Men in Tights (1993),Comedy,not set,not set
521,Romeo Is Bleeding (1993),Crime|Thriller,not set,not set
522,Romper Stomper (1992),Action|Drama,not set,not set
523,Ruby in Paradise (1993),Drama,not set,not set
524,Rudy (1993),Drama,not set,not set
526,Savage Nights (Nuits fauves, Les) (1992),Drama,not set
527,Schindler's List (1993),Drama|War,not set,not set
528,Scout, The (1994),Comedy|Drama,not set
529,Searching for Bobby Fischer (1993),Drama,not set,not set
531,Secret Garden, The (1993),Children|Drama,not set
532,Serial Mom (1994),Comedy|Crime|Horror,not set,not set
533,Shadow, The (1994),Action|Adventure|Fantasy|Mystery,not set
534,Shadowlands (1993),Drama|Romance,not set,not set
535,Short Cuts (1993),Drama,not set,not set
536,Simple Twist of Fate, A (1994),Drama,not set
537,Sirens (1994),Drama,not set,not set
538,Six Degrees of Separation (1993),Drama,not set,not set
539,Sleepless in Seattle (1993),Comedy|Drama|Romance,not set,not set
540,Sliver (1993),Thriller,not set,not set
541,Blade Runner (1982),Action|Sci-Fi|Thriller,not set,not set
542,Son in Law (1993),Comedy|Drama|Romance,not set,not set
543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,not set,not set
544,Striking Distance (1993),Action|Crime,not set,not set
